spieltag	sp_nr	tore1	tore2	debug_user	debug_time
20	9	3	0	BOT	2023-02-12 19:30:20
21	1	0	2	Marius	2023-02-20 11:24:13
21	2	0	0	Marius	2023-02-20 11:24:13
21	3	4	1	Marius	2023-02-20 11:24:13
21	4	2	3	Marius	2023-02-20 11:24:13
21	5	1	0	Marius	2023-02-20 11:24:13
21	6	0	3	Marius	2023-02-20 11:24:13
21	7	3	2	Marius	2023-02-20 11:24:13
21	8	3	0	Marius	2023-02-20 11:24:13
21	9	2	0	Marius	2023-02-20 11:24:13
22	1	0	1	BOT	2023-02-26 19:30:20
22	2	3	0	BOT	2023-02-26 19:30:20
22	3	1	1	BOT	2023-02-26 19:30:20
22	4	2	1	BOT	2023-02-26 19:30:20
22	5	0	2	BOT	2023-02-26 19:30:20
22	6	3	0	BOT	2023-02-26 19:30:21
22	7	2	1	BOT	2023-02-26 19:30:21
22	8	2	0	BOT	2023-02-26 19:30:21
22	9	4	0	BOT	2023-02-26 19:30:21
23	1	2	1	BOT	2023-03-07 01:35:05
23	2	1	2	BOT	2023-03-07 01:35:05
23	3	4	1	BOT	2023-03-07 01:35:05
23	4	2	2	BOT	2023-03-07 01:35:05
23	5	1	0	BOT	2023-03-07 01:35:05
23	6	2	1	BOT	2023-03-07 01:35:05
23	7	0	2	BOT	2023-03-07 01:35:06
23	8	0	0	BOT	2023-03-07 01:35:06
23	9	0	0	BOT	2023-03-07 01:35:06
24	1	1	1	Marius	2023-03-12 21:59:31
24	2	2	3	Marius	2023-03-12 21:59:31
24	3	1	1	Marius	2023-03-12 21:59:31
24	4	2	2	Marius	2023-03-12 21:59:31
24	5	5	3	Marius	2023-03-12 21:59:31
24	6	3	0	Marius	2023-03-12 21:59:31
24	7	1	1	Marius	2023-03-12 21:59:31
24	8	0	2	Marius	2023-03-12 21:59:31
24	9	2	1	Marius	2023-03-12 21:59:31
25	1	1	1	BOT	2023-03-19 21:30:15
25	2	2	2	BOT	2023-03-19 21:30:16
25	3	1	1	BOT	2023-03-19 21:30:16
25	4	1	0	BOT	2023-03-19 21:30:16
25	5	2	1	BOT	2023-03-19 21:30:16
25	6	6	1	BOT	2023-03-19 21:30:16
25	7	0	1	BOT	2023-03-19 21:30:16
25	8	3	1	BOT	2023-03-19 21:30:16
25	9	2	0	BOT	2023-03-19 21:30:16
26	1	1	1	Marius	2023-04-01 20:26:01
26	2	0	3	Marius	2023-04-01 20:26:01
26	3	3	0	Marius	2023-04-01 20:26:01
26	4	0	0	BOT	2023-04-02 19:30:12
26	5	4	2	Marius	2023-04-01 20:26:01
26	6	1	1	Marius	2023-04-01 20:26:01
26	7	0	3	Marius	2023-04-01 20:26:01
26	8	2	2	Marius	2023-04-01 20:26:01
26	9	1	2	BOT	2023-04-02 19:30:12
27	1	2	0	BOT	2023-04-09 21:30:15
27	2	2	2	BOT	2023-04-09 21:30:15
27	3	2	3	BOT	2023-04-09 21:30:15
27	4	0	1	BOT	2023-04-09 21:30:15
27	5	1	3	BOT	2023-04-09 21:30:15
27	6	2	0	BOT	2023-04-09 21:30:15
27	7	3	1	BOT	2023-04-09 21:30:15
27	8	2	1	BOT	2023-04-09 21:30:15
27	9	0	1	BOT	2023-04-09 21:30:15
28	1	1	2	BOT	2023-04-16 21:30:15
28	2	1	1	BOT	2023-04-16 21:30:15
28	3	0	0	BOT	2023-04-16 21:30:15
28	4	1	1	BOT	2023-04-16 21:30:15
28	5	3	3	BOT	2023-04-16 21:30:15
28	6	5	2	BOT	2023-04-16 21:30:15
28	7	1	1	BOT	2023-04-16 21:30:15
28	8	3	2	BOT	2023-04-16 21:30:15
28	9	1	1	BOT	2023-04-16 21:30:15
29	1	4	0	BOT	2023-04-23 21:30:14
29	2	2	4	BOT	2023-04-23 21:30:14
29	3	1	1	BOT	2023-04-23 21:30:14
29	4	3	1	BOT	2023-04-23 21:30:14
29	5	1	3	BOT	2023-04-23 21:30:14
29	6	1	5	BOT	2023-04-23 21:30:14
29	7	4	0	BOT	2023-04-23 21:30:14
29	8	0	1	BOT	2023-04-23 21:30:14
29	9	2	0	BOT	2023-04-23 21:30:14
30	1	2	1	BOT	2023-04-30 19:30:14
30	2	0	1	BOT	2023-04-30 19:30:14
